ts,conc,fu,legend
49,2e-04,0.00295970959808071,49ºC 
52,2e-04,0.0351501099081864,52ºC 
55,2e-04,0.357653336832972,55ºC 
58,2e-04,0.913114942627828,58ºC 
49,1e-04,0.0471521168702038,49ºC 
52,1e-04,0.166076851597484,52ºC 
55,1e-04,0.504626672743436,55ºC 
58,1e-04,0.867794367423657,58ºC 
49,5e-05,0.189455115762877,49ºC 
52,5e-05,0.391335977919354,52ºC 
55,5e-05,0.693583103220378,55ºC 
58,5e-05,0.909965092372495,58ºC 
49,2.5e-05,0.148940378566137,49ºC 
52,2.5e-05,0.350631942992101,52ºC 
55,2.5e-05,0.680284891386885,55ºC 
58,2.5e-05,0.913886707926615,58ºC 
49,1.25e-05,0.314370825607236,49ºC 
52,1.25e-05,0.522400022089949,52ºC 
55,1.25e-05,0.770025985120669,55ºC 
58,1.25e-05,0.928737050520569,58ºC 
49,6.25e-06,0.262172232203569,49ºC 
52,6.25e-06,0.466239630179282,52ºC 
55,6.25e-06,0.73361448155879,55ºC 
58,6.25e-06,0.91690234355049,58ºC 
49,1.5625e-06,0.277023021528003,49ºC 
52,1.5625e-06,0.491510284483093,52ºC 
55,1.5625e-06,0.757625410019315,55ºC 
58,1.5625e-06,0.927746021826781,58ºC 
49,7.8125e-07,0.289514136782252,49ºC 
52,7.8125e-07,0.500582132270005,52ºC 
55,7.8125e-07,0.75973288956955,55ºC 
58,7.8125e-07,0.926881947525961,58ºC 
49,3.90625e-07,0.291944900300604,49ºC 
52,3.90625e-07,0.509552193587553,52ºC 
55,3.90625e-07,0.770432818959824,55ºC 
58,3.90625e-07,0.932296915448604,58ºC 
49,1.953125e-07,0.268475472740107,49ºC 
52,1.953125e-07,0.48374615077864,52ºC 
55,1.953125e-07,0.754067905047864,55ºC 
58,1.953125e-07,0.927228635704607,58ºC 
